"1","3096178321","手机用户3096178321","手机用户3096178321","34","1000","安徽",,,"http://tp2.sinaimg.cn/3096178321/50/0/0",,"f","0","0","0","0","2012-11-04 21:21:05","f",NULL,"t","f","t","http://tp2.sinaimg.cn/3096178321/180/0/0",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
"2","2466190842","Bierbin米兰","Bierbin米兰","11","8","北京 海淀区","在思维中趋于分裂，在探索中寻求认同。过往的重复只是变换了地点、时间、人名；谁能掌握万变中的不变？",,"http://tp3.sinaimg.cn/2466190842/50/5645434144/1",,"m","581","937","7506","1158","2011-10-14 11:06:45","f",NULL,"t","f","t","http://tp3.sinaimg.cn/2466190842/180/5645434144/1",,"0","zh-cn","810223256","220","2012-11-06 21:34:14"
"3","1977385587","计算士吕林","计算士吕林","35","8","福建 龙岩","自号戒之，远恶习、恶好、恶品。","http://www.jackeylu.com/","http://tp4.sinaimg.cn/1977385587/50/5600856079/1","lvlinchina","m","185","173","407","70","2011-02-19 09:04:45","f",NULL,"t","f","t","http://tp4.sinaimg.cn/1977385587/180/5600856079/1",,"0","zh-cn",,"200","2012-11-06 21:34:14"
"4","1562083790","HY被推着走跟着生活流","HY被推着走跟着生活流","36","1","江西 南昌","友情也有输给距离的时候","http://blog.sina.com.cn/hy599259170","http://tp3.sinaimg.cn/1562083790/50/39998189460/1",,"m","100","124","60","77","2010-03-02 22:53:31","f",NULL,"t","f","t","http://tp3.sinaimg.cn/1562083790/180/39998189460/1",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
"5","2132914607","哥是假装一本正经","哥是假装一本正经","61","1","陕西 西安","格物、致知、诚心、正意、修身、齐家、治国、平天下",,"http://tp4.sinaimg.cn/2132914607/50/5612784252/1","quzhenfang","m","120","132","143","18","2011-05-13 23:32:30","f",NULL,"t","f","f","http://tp4.sinaimg.cn/2132914607/180/5612784252/1",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
"6","2513486351","猎头ABCDEF","猎头ABCDEF","11","5","北京 朝阳区","IT行业猎头顾问。欢迎各界人士互粉。谢谢。",,"http://tp4.sinaimg.cn/2513486351/50/5618104263/0",,"f","15","65","7","0","2011-12-06 10:00:27","f",NULL,"t","f","t","http://tp4.sinaimg.cn/2513486351/180/5618104263/0",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
"7","1877503697","Kemey_RU给小裙子攒RP","Kemey_RU给小裙子攒RP","11","8","北京 海淀区","Stay hungry,stay foolish.",,"http://tp2.sinaimg.cn/1877503697/50/39999642104/1",,"m","92","149","345","2","2010-11-29 13:25:22","f",NULL,"t","f","t","http://tp2.sinaimg.cn/1877503697/180/39999642104/1",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
"8","1644741634","heihei","heihei","33","1","浙江 杭州","宅男，果粉，夜猫子，爱无能，微博控，数码控，格子控，坚果控，美剧迷，网购狂，乐天派，阅读爱好者，轻度强迫症患者，不上网会死星人。。。","http://blog.sina.com.cn/bloggerhei","http://tp3.sinaimg.cn/1644741634/50/1279883080/1","jasonwu","m","1582","2069","9524","721","2009-09-03 18:55:39","f",NULL,"t","f","t","http://tp3.sinaimg.cn/1644741634/180/1279883080/1",,"0","zh-cn",,"220","2012-11-06 21:34:14"
"9","1730413775","赵宁-淘宁遥","赵宁-淘宁遥","11","5","北京 朝阳区","也许随着时间的流逝，当我们能很轻易的洞察身边每一个人的喜怒哀乐的时候，就会很坦然的面对他们带给自己的心情，然后继续走自己的路，这个时刻好美。","http://blog.sina.com.cn/u/1730413775","http://tp4.sinaimg.cn/1730413775/50/1299761675/0",,"f","175","345","1001","19","2010-04-15 19:21:40","f","赵宁","t","f","f","http://tp4.sinaimg.cn/1730413775/180/1299761675/0",,"0","zh-cn","207169898","220","2012-11-06 21:34:14"
"10","1847126131","刈麦阿义","刈麦阿义","11","8","北京 海淀区",,,"http://tp4.sinaimg.cn/1847126131/50/5630225088/1",,"m","16","46","185","2","2011-03-12 00:18:18","f",NULL,"t","f","t","http://tp4.sinaimg.cn/1847126131/180/5630225088/1",,"0","zh-cn",,"-1","2012-11-06 21:34:14"
